csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Colonia Andino Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.039881,-64.760117
Colonia Andino Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.041521,-64.757195
Colorado Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-15.937561,-66.811066
Conda Baja Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.71664,-65.378952
Conda Baja Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.714678,-65.380325
Confital Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.66954,-66.719627
Copachuncho Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.706175,-65.100174
Corani Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.205082,-65.938568
Corani Pampa Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.191963,-65.942688
Corani Pampa Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.190651,-65.939941
Cornaca - Tablaya Palca Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-20.910133,-65.529327
Coroma Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-19.468534,-66.848373
Cotagaita Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-20.85368,-65.690002
Cotagaitilla - Cayti Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-21.005035,-65.987091
Cotagaitilla - Ojo de Agua Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-20.871643,-65.792999
Cruce Laytapi - Villa Concepcion Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-20.429586,-66.123962
Cuchu Muela - Lajas Canada Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.611301,-65.76416
Cuiza Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-19.103647,-66.133118
Cuiza Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-19.0725,-66.0672
El Abra Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.404783,-66.158554
El Palmar Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-20.880627,-64.254913
El Paso Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.369808,-66.279831
Falsuri Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-16.911654,-66.63311
Falsuri (Camargo) Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-20.596794,-64.956665
Falsuri Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-16.908041,-66.629333
Falsuri Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-16.909683,-66.63208
Huaca Cancha Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-20.284098,-65.022583
Huanacuni Chico Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.933989,-64.883194
Huanacuni Chico Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.924517,-64.891434
Huanacuni Grande Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-18.10017,-64.91481
Huayllas Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.060722,-66.494751
Huayllas Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.058098,-66.485138
Incacasani Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-16.943842,-66.518097
Incacasani Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-16.950411,-66.507111
Incacasani Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-16.94647,-66.504364
Incacasani Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-16.949097,-66.494751
Incacasani Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-16.937275,-66.498528
Independencia Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.082384,-66.818848
Iscay Huasi Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.526855,-65.518341
Japo Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.679026,-66.769753
Jarana Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-18.719097,-65.968781
Jarana Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.715195,-65.934448
Jatun K'asa Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.951954,-66.082191
